year,n,mean,ci_lo,ci_hi,metric,variant
1972,48,0.2708333333333333,0.14583333333333334,0.3958333333333333,heartbreak_share,unweighted_complete_case
1973,48,0.2916666666666667,0.16666666666666666,0.4166666666666667,heartbreak_share,unweighted_complete_case
1974,52,0.28846153846153844,0.17307692307692307,0.4230769230769231,heartbreak_share,unweighted_complete_case
1975,64,0.328125,0.21875,0.4375,heartbreak_share,unweighted_complete_case
1976,55,0.3090909090909091,0.2,0.4186363636363632,heartbreak_share,unweighted_complete_case
1977,66,0.2878787878787879,0.18181818181818182,0.4090909090909091,heartbreak_share,unweighted_complete_case
1978,67,0.2835820895522388,0.1791044776119403,0.3880597014925373,heartbreak_share,unweighted_complete_case
1979,69,0.3333333333333333,0.2318840579710145,0.4492753623188406,heartbreak_share,unweighted_complete_case
1980,61,0.36065573770491804,0.2459016393442623,0.47540983606557374,heartbreak_share,unweighted_complete_case
1981,79,0.35443037974683544,0.25316455696202533,0.46835443037974683,heartbreak_share,unweighted_complete_case
1982,67,0.26865671641791045,0.1791044776119403,0.373134328358209,heartbreak_share,unweighted_complete_case
1983,70,0.42857142857142855,0.3142857142857143,0.5571428571428572,heartbreak_share,unweighted_complete_case
1984,68,0.4411764705882353,0.3235294117647059,0.5588235294117647,heartbreak_share,unweighted_complete_case
1985,57,0.2631578947368421,0.15789473684210525,0.3684210526315789,heartbreak_share,unweighted_complete_case
1986,67,0.29850746268656714,0.19402985074626866,0.40298507462686567,heartbreak_share,unweighted_complete_case
1987,77,0.35064935064935066,0.24675324675324675,0.45454545454545453,heartbreak_share,unweighted_complete_case
1988,73,0.410958904109589,0.3013698630136986,0.5205479452054794,heartbreak_share,unweighted_complete_case
1989,72,0.25,0.1527777777777778,0.3472222222222222,heartbreak_share,unweighted_complete_case
1990,68,0.4117647058823529,0.3084558823529412,0.5294117647058824,heartbreak_share,unweighted_complete_case
1991,61,0.2786885245901639,0.18032786885245902,0.39344262295081966,heartbreak_share,unweighted_complete_case
1992,59,0.3050847457627119,0.1864406779661017,0.423728813559322,heartbreak_share,unweighted_complete_case
1993,65,0.38461538461538464,0.27692307692307694,0.5076923076923077,heartbreak_share,unweighted_complete_case
1994,70,0.3142857142857143,0.2,0.42857142857142855,heartbreak_share,unweighted_complete_case
